DIGITAL COLLECTIONS SUMMARY REPORT

GEOGRAPHICAL SUBJECTS:
"Arkansas","2"
"Georgia","2"
"Lincoln County","1"
"Harford County","3"
"New Castle County","2"
"Fauquier County","2"
"Pennsylvania","5"
"District of Columbia","41"
"Washington County","6"
"Eastern Shore","2"
"Indiana","1"
"St. Mary's County","4"
"Washington","1"
"Baltimore","2"
"Queen Anne's County","2"
"Somerset County","2"
"Maryland","1587"
"Louisiana","1"
"Fort Smith","2"
"Prince George's County","24"
"Dorchester County","2"
"Worcester County","1"
"New Jersey","10"
"Alabama","1"
"Calvert County","6"
"Delaware","2"
"Charles County","4"
"Kentucky","1"
"Baltimore County","9"
"Virginia","29"
"Frederick County","824"
"Anne Arundel County","14"
"Loudon County","2"
"Montgomery County","11"
"Massachusetts","1"
"Cecil County","1"
"Mississippi","2"
"Washington (D.C.)","1"
"Florida","1"
"California","1"
TOTAL = 2615

TOPICAL SUBJECTS:
"Civil Rights Maryland","1"
"Fidelity and Deposit Company of Maryland History Sources","1"
"Vice-Presidents United States Election 1972 History Sources","1"
"Electioneering Maryland","1"
"African Americans","1"
"Industrial Union of Marine and Shipbuilding Workers of America Archives","1"
"Publishers and publishing United States Archives","1"
"Presidents United States Election 1968 History Sources","1"
"Eastern Shore (Md. and Va.) Social life and customs Sources","1"
"Slavery Maryland Charles County History Sources","1"
"Civil rights","4"
"Education Maryland Anne Arundel County History Sources","1"
"United States. Colored Troops","1"
"University of Maryland, College Park. Campus Senate Archives","1"
"Acquittals Maryland","1"
"Public health Maryland Prince George's County History Sources","1"
"Capital punishment Maryland","1"
"Education, Elementary United States History Sources","1"
"Law enforcement","1"
"Busing for school integration Maryland Prince George's County History Sources","1"
"Housing Maryland Prince George's County History Sources","1"
"Student publications","1"
"Ku Klux Klan (1915- ). Mt. Rainier Klan #51 (Mt. Rainier, Md.) Archives","1"
"Ballus (Privateer) History Sources","1"
"Campaign speeches, 1968 Republican","1"
"Public service employment Maryland History Sources","1"
"African literature","1"
"Maryland History Civil War, 1861-1865 Sources","1"
"Maryland. Emergency Relief Administration History Sources","1"
"Local transit Maryland Prince George's County History Sources","1"
"Daily record (Baltimore, Md.)","1"
"African Americans -- Segregation","1"
"School integration Maryland Prince Georges County History Sources","1"
"International Kindergarten Union Archives","1"
"Governors Maryland History Sources","1"
"Vietnam War, 1961-1975 Protest movements Maryland College Park History Sources","1"
"League of Women Voters of Maryland Archives","1"
"University of Maryland, College Park Administration History Sources","2"
"Chesapeake Bay Bridge","1"
"Presidents United States Election 1972 History Sources","1"
"University of Maryland, College Park Students History Sources","1"
"Campaign literature Maryland History Sources","1"
"Cholera Mississippi Grand Gulf History Sources","1"
"Writers' Program of the Work Projects Administration in the State of Maryland Archives","1"
"Shipbuilding industry Employees Labor unions United States History Sources","1"
"Geological surveys Maryland","1"
"College presidents Maryland Archives","1"
"United Railroad Workers of America Archives","1"
"Weights and measures Maryland","1"
"Maryland Social life and customs Sources","2"
"Authors, American 19th century Biography Sources","1"
"American literature. African American authors","1"
"University of Maryland, College Park Student housing History Sources","1"
"Child Welfare Maryland History Sources","1"
"University of Maryland, College Park Archives","1"
"Agriculture Maryland Anne Arundel County History Sources","1"
"Real property Maryland Prince George's County","1"
"Voting Maryland History Sources","1"
"Free African Americans","4"
"Industrial Union of Marine and Shipbuilding Workers of America Management History Sources","1"
"Teachers Maryland Elkton Correspondence","1"
"Ku Klux Klan (1915- ) Maryland Mount Ranier History Sources","1"
"Seven Years' War, 1756-1763 Naval operations, French History Sources","1"
"Student movements","1"
"Merchants Maryland Baltimore Correspondence","1"
"Campaign speeches, 1972 Republican","1"
"Slavery Virginia History Sources","1"
"Blacks","1"
"Public Welfare Maryland History Sources","1"
"Smallpox Vaccination Maryland Baltimore","1"
"United States. Army Military Sources","1"
"University of Maryland, College Park. Office of the Chancellor Archives","1"
"League of Women Voters of Prince Georges County Archives","1"
"University of Maryland, College Park Alumni and alumnae History Sources","1"
"Campaign literature United States History Sources","1"
"Public school closings Maryland Prince George's County","1"
"Political campaigns United States History Sources","1"
"Shipbuilding industry United States Employees History Sources","1"
"Vice-Presidents United States Election 1968 History Sources","1"
"Commercial correspondence","1"
"Governors Maryland Archives","1"
"United States. Work Projects Administration (Md.) Archives","1"
"League of Women Voters of Prince George's County History Sources","1"
"University of Maryland, College Park. President's Office Archives","1"
"Caribbean literature","1"
