DIGITAL COLLECTIONS SUMMARY REPORT

GEOGRAPHICAL SUBJECTS:
"Michigan","1"
"Houston","1"
"Washington DC","1"
"Harford County","1"
"New Castle County","2"
"Pennsylvania","28"
"District of Columbia","22"
"Washington County","2"
"West Yorkshire","1"
"Connecticut","6"
"Indiana","4"
"Washington","1"
"North Carolina","1"
"Baltimore","1"
"Missouri","1"
"Honshu","1"
"Maryland","370"
"Louisiana","3"
"Prince George's County","2"
"Dorchester County","1"
"Adams County","1"
"Illinois","1"
"New York","26"
"New Jersey","24"
"Alabama","1"
"Washington, D.C.","1"
"Orange County","1"
"Delaware","3"
"Baltimore County","1"
"Virginia","13"
"Frederick County","61"
"Anne Arundel County","8"
"Montgomery County","21"
"Cecil County","1"
"Massachusetts","19"
"Florida","1"
"South Carolina","1"
"California","9"
"Texas","5"
"Wisconsin","1"
TOTAL = 649

TOPICAL SUBJECTS:
"Women Social conditions","2"
"Civil Rights Maryland","1"
"National First Aid Association of America History Sources","1"
"American Association of University Women - Maryland Division - Archives","1"
"Entomology Research Archival resources","1"
"Feminist theater Archival resources","1"
"Educational broadcasting Archival resources","1"
"Women Employment","1"
"Atlantic Monthly Press","1"
"Merchants -- Maryland -- Baltimore -- Correspondence","2"
"Jewish College Students Maryland College Park History Sources","1"
"Women's studies","1"
"Publishing of Periodicals United States History Sources","1"
"Office management Archival resources","1"
"Women -- Maryland -- Social life and customs -- 19th century -- Sources","1"
"Radio stations New York (State) Rockland County Archival resources","1"
"African Americans","2"
"Judges Maryland Archives","1"
"League of Women Voters of Maryland History Sources","1"
"Radio writers United States Correspondence","1"
"Women broadcasters Ohio Archives","1"
"Women college graduates - Maryland - Societies, etc. - History - Sources","1"
"Television in elementary education Kentucky","1"
"Slavery -- Maryland","2"
"Montgomery County (Md.). County Council History Sources","1"
"Women in the advertising industry History Sources","1"
"Television in education United States History Sources","1"
"American Literature 20th century History and criticism Sources","1"
"Community Organization Maryland Archival Resources","1"
"Eastern Shore (Md. and Va.) Social life and customs Sources","1"
"Unidentified woman, circa 1860s-1880s","2"
"Women Maryland Montgomery County Societies and clubs History Sources","1"
"Women postal service employees Maryland Oxford History Sources","1"
"Diplomatic and consular service, American History Sources","1"
"Slavery Maryland Baltimore County","1"
"American Association of University Women. Maryland State Division Archives","1"
"Maria (Mariah) Conway Washington","1"
"Virginia Callaway Condol, circa 1935","1"
"Education Maryland Anne Arundel County History Sources","1"
"Leon Washington Condol","1"
"University of Minnesota History Sources","1"
"Women Authors, American Mexico Correspondence","1"
"Authors, American 20th century Archives","1"
"American National Red Cross History Sources","1"
"Physicians Maryland East New Market Archival resources","1"
"Two unidentified women, circa 1860s-1880s","1"
"Public health Maryland Prince George's County History Sources","1"
"Radio producers and directors United States Correspondence","1"
"Women authors, American France Paris Manuscripts","1"
"Education, Elementary United States History Sources","1"
"Women broadcasters United States Archives","2"
"Postmasters Maryland Oxford History Sources","1"
"Animal nutrition Research Maryland Archival resources","1"
"Library of Congress Fellows of the Library of Congress in American Letters","1"
"American Association of University Women. Metropolitan Area Mass Media Committee Archives","1"
"Plantation life Maryland Charles County History Sources","1"
"Civic leaders Maryland History Sources","1"
"Maryland Library Association History Sources","1"
"Leon Condol","2"
"United States History War of 1812 Archival resources","1"
"Plantation owners Maryland Charles County 19th century Correspondence","1"
"unidentified woman, circa 1860s (possibly Mary Ann Cord)","1"
"Democratic National Committee (U.S.). Commission on Party Structure and Delegate Selection History Sources","1"
"Chalcid wasps Research","1"
"WOR (Radio station : New York, N.Y.) Archives","1"
"Unidentified woman, circa 1860s-1870s (possibly Mary Ann Cord)","1"
"Unidentified baby","1"
"Housing Maryland Prince George's County History Sources","1"
"Busing for school integration Maryland Prince George's County History Sources","1"
"University of Maryland (College Park, Md.). Dept. of Entomology","1"
"Women Education","1"
"Radio writers Archives","1"
"National Association of Public Television Stations History Sources","1"
"Women in politics Maryland Prince George's County Archival resources","1"
"Authors, American History Sources","2"
"Baltimore (Md.) Social conditions History Sources","1"
"Agriculture New Hampshire History Sources","1"
"American Authors History Sources","1"
"Novelists, American 20th century Archives","1"
"Bureau of Business Practice History Sources","1"
"WABD-TV (Television station : New York, N.Y.) Archives","1"
"Popular culture Moral and ethical aspects United States History Sources","1"
"Harcourt Brace &amp;amp; Company","1"
"Women Services for Maryland College Park","1"
"Tobacco farmers Maryland Charles County 19th century Correspondence","1"
"Lawyers Washington (D.C.) Correspondence","1"
"Maryland History Civil War, 1861-1865 Sources","2"
"Television in elementary education American Samoa","1"
"International Women's Year History Sources","1"
"Women chemists United States Archives","1"
"Maryland. General Assembly History Sources","1"
"Dr. Frank S. Horne","1"
"Local transit Maryland Prince George's County History Sources","1"
"Television broadcasting Washington Metropolitan Area History Sources","1"
"Poetics History Sources","1"
"School integration Maryland Prince Georges County History Sources","1"
"Young Democratic Clubs of Maryland History Sources","1"
"University of Maryland, College Park History Sources","3"
"Plant diseases Maryland Archival resources","1"
"International Kindergarten Union Archives","1"
"Lawyers Maryland Baltimore Archives","1"
"Dickinson College History Sources","1"
"Feminism Archival resources","2"
"Maryland Politics and government Archival resources","1"
"University of Maryland, College Park Students Correspondence","1"
"Curriculum planning American Samoa","1"
"WRKL-AM (Radio station : Rockland County, N.Y.) Archives","1"
"Maryland History Civil War, 1861-1865","1"
"Leon and Virginia Condol","1"
"Journalists United States Archives","1"
"College student government Maryland History Sources","2"
"Public Broadcasting United States History Sources","1"
"Temperance United States History Sources","1"
"Maryland Committee for the Day Care of Children History Sources","1"
"Women - Education - Maryland - History - Sources","2"
"Public Broadcasting Service (U.S.). Public Information Dept. History Sources","1"
"Women college students Maryland College Park History Sources","1"
"League of Women Voters of Maryland Archives","1"
"Pro-choice movement Archival resources","2"
"Unidentified family, circa 1860s-1880s","1"
"University of Maryland, College Park Buildings History Sources","1"
"Radio broadcasters Archives","1"
"(Elisa) Virginia Lewis Callaway","1"
"Women Maryland Social life and customs 19th century Sources","1"
"University of Maryland, College Park Students History Sources","4"
"Cholera Mississippi Grand Gulf History Sources","1"
"American Literature 20th century History Sources","1"
"Womens rights Archival resources","1"
"United States Office of the Vice President Archival Resources","1"
"University of Maryland, College Park Womens League Archives","1"
"Women college graduates Washington Metropolitan Area Societies, etc. History Sources","1"
"Women in politics Maryland Montgomery Counnty History Sources","1"
"Television writers Archives","1"
"National Foremen's Institute History Sources","1"
"Women broadcasters Archives","1"
"Gay rights Archival resources","1"
"Human services Maryland Montgomery County Archival resources","1"
"Women Legal status, laws, etc. Maryland Archival resources","1"
"Sellman, Lucinda Harwood, 1812-1866 -- Correspondence","2"
"Watergate Affair, 1972-1974","1"
"National Academy of Television Arts and Sciences (U.S.) Archives","1"
"Civic leaders Prince George's County (Md.)","1"
"Maryland Social life and customs Sources","2"
"Authors, American 19th century Biography Sources","1"
"Leon W. Condol","3"
"Women -- Maryland -- Elkton -- Social conditions -- Sources","1"
"American Women in Radio and Television Inc. History Sources","1"
"Deans of Women Maryland Archives","1"
"Women College Graduates - Maryland - Societies - History - Sources","1"
"Teachers Maryland Correspondence","1"
"Harmony Hall (Oxon Hill, Md.) History","1"
"Child Welfare Maryland History Sources","1"
"Ballet History Sources","1"
"Early childhood education United States","1"
"National Women's Relief Corps (U.S.) History Sources","1"
"Women United States History 20th century","1"
"Agriculture Maryland Anne Arundel County History Sources","1"
"Authors, American Correspondence","1"
"Elisa Virginia Lewis Callaway","1"
"University of Maryland (College Park, Md.) Faculty Archives","1"
"Women college students Maryland History Sources","2"
"Television in higher education United States History Sources","1"
"Women Maryland Social life and customs 19th century","1"
"Television programs for women History Sources","1"
"Maryland Executive Department Reorganization Archival Resources","1"
"Business literature Publishing","1"
"Anne Arundel County (Md.) -- Genealogy","2"
"Women copy writers Archives","1"
"Association of America's Public TV Stations History Sources","1"
"Voting Maryland History Sources","1"
"Authors 20th century Archives","1"
"Women Political activity United States","1"
"Jane Pearson Condol","1"
"Women librarians Maryland College Park History Sources","1"
"Women Maryland College Park Social conditions","1"
"Women","1"
"Abortion Government policy Maryland Archival resources","1"
"Slavery Maryland Baltimore","1"
"Educational broadcasting Washington Metropolitan Area History Sources","1"
"Television personalities Washington (D.C.) Archives","1"
"Teachers Maryland Elkton Correspondence","1"
"Henry Crummell Washington","1"
"Historic preservation Maryland","1"
"Vitamin B12 Research Maryland Archival resources","1"
"Health and Welfare Council History Sources","1"
"University of Maryland (College Park, Md.). Libraries History Sources","1"
"Supervisors, Industrial Training of Archival resources","1"
"Scrapbooks Maryland College Park","2"
"Women's rights Archival resources","2"
